URL,Last Modified,Change Frequency,Priority,Crawled,Content Extracted,Screenshot Taken,Images Downloaded
https://gsbor.com/,2024-02-29T17:54:54+00:00,,,true,true,true,true
https://gsbor.com/cancel/,2020-03-12T22:43:32+00:00,,,true,true,true,true
https://gsbor.com/contact-us/confirmation/,2020-03-12T22:52:10+00:00,,,true,true,true,true
https://gsbor.com/update/confirmation/,2020-03-12T22:53:15+00:00,,,true,true,true,true
https://gsbor.com/cancel/confirmation/,2020-03-12T22:54:02+00:00,,,true,true,true,true
https://gsbor.com/supra/,2020-03-30T21:31:04+00:00,,,true,true,true,true
https://gsbor.com/new-members/dues-calculator/,2020-05-07T17:20:32+00:00,,,true,true,true,true
https://gsbor.com/education/realtor-education/,2020-05-08T19:30:22+00:00,,,true,true,true,true
https://gsbor.com/designated-broker-application-form/,2020-08-17T13:28:56+00:00,,,true,true,true,true
https://gsbor.com/home-new-version-icons/,2021-05-14T19:29:37+00:00,,,true,true,true,true
https://gsbor.com/e-signature-document/,2021-05-19T13:34:38+00:00,,,true,true,true,true
https://gsbor.com/about-gsbor/committees/sign-up/,2021-06-18T21:18:52+00:00,,,true,true,true,true
https://gsbor.com/update/,2021-06-19T14:17:14+00:00,,,true,true,true,true
https://gsbor.com/new-members/,2021-06-22T17:36:46+00:00,,,true,true,true,true
https://gsbor.com/events-calendar/,2021-07-30T13:31:09+00:00,,,true,true,true,true
https://gsbor.com/events-calendar/,2021-08-09T20:28:52+00:00,,,false,false,,false
https://gsbor.com/membership-application-form/,2022-01-06T23:09:34+00:00,,,true,true,true,true
https://gsbor.com/contact-us/,2022-01-21T18:33:18+00:00,,,true,true,true,true
https://gsbor.com/member-faq/,2022-03-17T20:20:44+00:00,,,true,true,true,true
https://gsbor.com/political-advocacy/,2022-03-24T16:44:42+00:00,,,true,true,true,true
https://gsbor.com/edu/,2022-07-26T18:14:43+00:00,,,true,true,true,true
https://gsbor.com/education/realtor-education/courses/,2022-09-01T18:26:20+00:00,,,true,true,true,true
https://gsbor.com/new-members/benefits-of-membership/,2022-09-07T19:57:32+00:00,,,true,true,true,true
https://gsbor.com/web-accessibility/,2022-12-07T15:05:36+00:00,,,true,true,true,true
https://gsbor.com/about-gsbor/meet-our-board/,2023-03-24T17:03:28+00:00,,,true,true,true,true
https://gsbor.com/about-gsbor/,2023-03-24T21:57:40+00:00,,,true,true,true,true
https://gsbor.com/mls/,2023-07-05T14:53:20+00:00,,,true,true,true,true
https://gsbor.com/r-care-fund/,2023-08-18T13:54:13+00:00,,,true,true,true,true
https://gsbor.com/forms/,2023-12-14T20:24:44+00:00,,,true,true,true,true
https://gsbor.com/buyers-and-sellers/,2024-02-29T15:27:23+00:00,,,true,true,true,true
https://gsbor.com/find-an-affiliate-old/,2024-05-20T16:51:15+00:00,,,true,true,true,true
https://gsbor.com/gsbor-plus/,2024-09-20T22:14:51+00:00,,,true,true,true,true
https://gsbor.com/about-gsbor/leadership-academy/,2024-12-16T19:58:18+00:00,,,true,true,true,true
https://gsbor.com/about-gsbor/awards/,2024-12-17T18:27:13+00:00,,,true,true,true,true
https://gsbor.com/education/realtor-safety-information/,2025-01-16T20:07:07+00:00,,,true,true,true,true
https://gsbor.com/mls-nxt-tech-suite/,2025-01-16T20:17:41+00:00,,,true,true,true,true
https://gsbor.com/about-gsbor/staff/,2025-02-26T20:22:41+00:00,,,true,true,true,true
https://gsbor.com/market-statistics/,2025-05-09T15:17:27+00:00,,,true,true,true,true
https://gsbor.com/new-members/become-a-member/,2025-05-21T17:52:55+00:00,,,true,true,true,true
https://gsbor.com/connections/,2024-07-12T19:03:28+00:00,,,true,true,true,true
https://gsbor.com/courses/,2024-07-16T15:02:34+00:00,,,true,true,true,true
https://gsbor.com/category/all-about-the-members/,2021-03-05T20:43:02+00:00,,,true,true,true,true
https://gsbor.com/category/board/,2021-03-05T20:43:02+00:00,,,true,true,true,true
https://gsbor.com/category/community/,2020-12-03T15:42:05+00:00,,,true,true,true,true
https://gsbor.com/category/education/,2021-02-24T14:44:06+00:00,,,true,true,true,true
https://gsbor.com/category/forms/,2021-02-24T14:44:06+00:00,,,true,true,true,true
https://gsbor.com/category/friday_five/,2020-02-19T20:45:28+00:00,,,true,true,true,true
https://gsbor.com/category/general/,2021-03-05T20:43:02+00:00,,,true,true,true,true
https://gsbor.com/category/gov-affairs-advocacy/,2020-02-20T13:39:58+00:00,,,true,true,true,true
https://gsbor.com/category/in-remembrance/,2020-02-19T20:44:03+00:00,,,true,true,true,true
https://gsbor.com/category/missouri-realtors-2/,2021-02-24T14:44:06+00:00,,,true,true,true,true
https://gsbor.com/category/mls/,2021-03-05T20:43:02+00:00,,,true,true,true,true
https://gsbor.com/category/national-association-of-realtors/,2020-12-03T15:42:05+00:00,,,true,true,true,true
https://gsbor.com/category/news-on-the-nines/,2020-09-29T17:56:14+00:00,,,true,true,true,true
https://gsbor.com/category/rpac/,2020-08-27T15:21:04+00:00,,,true,true,true,true
https://gsbor.com/category/tips-and-tricks/,2021-03-05T20:43:02+00:00,,,true,true,true,true
https://gsbor.com/gsbor-plus-category/dining/,2024-06-18T20:57:30+00:00,,,true,true,true,true
https://gsbor.com/gsbor-plus-category/health-and-wellness/,2024-07-12T19:03:28+00:00,,,true,true,true,true
https://gsbor.com/connection-category/finance/,2025-04-25T20:53:30+00:00,,,true,true,true,true
https://gsbor.com/connection-category/home-improvement-services/,2025-05-19T14:14:14+00:00,,,true,true,true,true
https://gsbor.com/connection-category/home-warranty/,2024-08-21T17:54:24+00:00,,,true,true,true,true
https://gsbor.com/connection-category/inspection-services/,2025-05-21T17:58:25+00:00,,,true,true,true,true
https://gsbor.com/connection-category/insurance/,2025-04-29T17:01:29+00:00,,,true,true,true,true
https://gsbor.com/connection-category/junk-removal/,2024-08-26T18:25:34+00:00,,,true,true,true,true
https://gsbor.com/connection-category/miscellaneous/,2024-08-22T15:39:05+00:00,,,true,true,true,true
https://gsbor.com/connection-category/moving-and-storage/,2024-08-26T18:25:34+00:00,,,true,true,true,true
https://gsbor.com/connection-category/photography-and-media/,2024-08-26T18:22:17+00:00,,,true,true,true,true
https://gsbor.com/connection-category/radon-inspection/,2025-05-21T17:58:25+00:00,,,true,true,true,true
https://gsbor.com/connection-category/title/,2025-04-21T18:34:52+00:00,,,true,true,true,true
